month_t,karr,pbail,pptrel,pror,pb4c,avg_days_initial,avg_t2d,pstint7,pstint30
-29,2450,0.6608163265,0.0346938776,0.3044897959,0.633877551,11.446938776,193.00369004,0.2040816327,0.0820408163
-28,2518,0.6679904686,0.0365369341,0.2954725973,0.635822081,9.9555202542,187.96169194,0.1556791104,0.0563939635
-27,2501,0.6409436226,0.0423830468,0.3166733307,0.6277489004,9.6777289084,191.4141252,0.1575369852,0.0635745702
-26,2472,0.6464401294,0.0376213592,0.3159385113,0.6488673139,13.925566343,183.35514019,0.1743527508,0.0780744337
-25,2628,0.6636225266,0.0437595129,0.2926179604,0.6552511416,12.752283105,183.96983582,0.2108066971,0.0799086758
-24,2629,0.646633701,0.0311905668,0.3221757322,0.696842906,10.116438356,192.59679267,0.168505135,0.0677063522
-23,2593,0.6247589664,0.0428075588,0.3324334747,0.7701504049,11.668723486,192.82018561,0.1858850752,0.0755881219
-22,2439,0.6256662567,0.0381303813,0.336203362,0.7478474785,12.568675687,197.54897119,0.1980319803,0.0881508815
-21,2239,0.6377847253,0.0393032604,0.3229120143,0.7253238053,13.941938365,179.07840502,0.196069674,0.0839660563
-20,2475,0.6597979798,0.0468686869,0.2933333333,0.722020202,11.544646465,179.79017857,0.1777777778,0.0715151515
-19,2262,0.6419098143,0.0384615385,0.3196286472,0.7568523431,11.512378426,189.35024477,0.175066313,0.0636604775
-18,2181,0.6547455296,0.0444750115,0.300779459,0.7308574049,12.574770642,194.57017948,0.1801925722,0.0710683173
-17,2224,0.6897482014,0.0350719424,0.2751798561,0.7297661871,12.312640576,186.38218001,0.2077338129,0.0836330935
-16,1869,0.670411985,0.0363830926,0.2932049224,0.6409844837,12.132156233,191.45410628,0.1861958266,0.0802568218
-15,2272,0.6426056338,0.0360915493,0.3213028169,0.7257922535,10.231514085,198.47637969,0.1738556338,0.0572183099
-14,2248,0.5991992883,0.0231316726,0.3776690391,0.7121886121,10.314501779,189.01077199,0.1797153025,0.0609430605
-13,2378,0.6370899916,0.0227081581,0.3402018503,0.6761984861,11.578216989,199.55672712,0.1867115223,0.0782169891
-12,2018,0.6045589693,0.0252725471,0.3701684836,0.6506442022,13.044124938,194.28720757,0.2056491576,0.0787908821
-11,2146,0.6039142591,0.0223671948,0.3737185461,0.6868592731,13.317334576,195.35379569,0.2059645853,0.0792171482
-10,2087,0.6578821275,0.0172496406,0.3248682319,0.7048394825,13.440344993,185.91216216,0.2160996646,0.0761859128
-9,2070,0.6362318841,0.0246376812,0.3391304348,0.6937198068,13.870531401,193.6057226,0.1903381643,0.0816425121
-8,2119,0.6554978764,0.0254837187,0.3190184049,0.7074091553,14.50023596,193.66460808,0.2076451156,0.0906087777
-7,1960,0.6382653061,0.0280612245,0.3336734694,0.706122449,12.565306122,196.23496144,0.1698979592,0.0663265306
-6,1957,0.5947879407,0.0321921308,0.3730199285,0.695963209,7.7005620848,197.1722365,0.1686254471,0.0562084824
-5,2080,0.6341346154,0.0192307692,0.3466346154,0.6903846154,9.8850961538,199.59941804,0.1860576923,0.0711538462
-4,1938,0.6217750258,0.0288957688,0.3493292054,0.6857585139,8.9365325077,216.31012987,0.1553147575,0.0598555212
-3,2217,0.6251691475,0.0234551195,0.351375733,0.6892196662,9.6247180875,208.72822617,0.1790708164,0.0649526387
-2,2062,0.6057225994,0.0266731329,0.3676042677,0.7075654704,10.394762367,192.09779951,0.1639185257,0.0615906887
-1,2242,0.5909901873,0.0352363961,0.3737734166,0.7007136485,10.281445138,205.43126685,0.178412132,0.0557537913
0,2191,0.6010953902,0.0255591054,0.3733455043,0.6992240986,10.335919671,197.31564375,0.1930625285,0.0661798266
1,2281,0.607189829,0.0236738273,0.3691363437,0.7181060938,11.881630864,195.76814159,0.1946514687,0.0688294608
2,2188,0.6311700183,0.0169104205,0.3519195612,0.7084095064,12.080475537,205.5462963,0.1745886654,0.0690127971
3,1989,0.6274509804,0.0165912519,0.3559577677,0.6882855706,10.220432813,197.46703854,0.1930618401,0.0734037205
4,2146,0.5740913327,0.018639329,0.4072693383,0.697110904,7.7861136999,197.68269684,0.1551724138,0.0507921715
5,1800,0.545,0.0205555556,0.4344444444,0.6294444444,8.6327777778,209.46019198,0.1555555556,0.05
6,1778,0.4713160855,0.03712036,0.4915635546,0.5708661417,8.8987626547,211.69428571,0.1580427447,0.0579302587
7,2061,0.5012130034,0.0359049005,0.4628820961,0.5851528384,7.8296943231,207.9019802,0.154294032,0.0456089277
8,1713,0.4915353182,0.0268534734,0.4816112084,0.5294804437,9.3584354933,209.40754039,0.1290134267,0.054290718
9,1960,0.4668367347,0.0295918367,0.5035714286,0.5341836735,8.231122449,194.65812859,0.137755102,0.0525510204
10,1961,0.4910759816,0.0356960734,0.4732279449,0.5634880163,7.7783452503,186.24662513,0.1432942376,0.0458949516
11,1921,0.4419573139,0.0286309214,0.5294117647,0.5564809995,6.5278500781,191.16710875,0.1405517959,0.04008329
12,1850,0.5113513514,0.0281081081,0.4605405405,0.592972973,9.0686486486,174.94033149,0.1745945946,0.0664864865
13,1986,0.5146022155,0.0156092649,0.4697885196,0.5528700906,7.6782652547,180.12720665,0.1535750252,0.0513595166
14,1986,0.5035246727,0.0221550856,0.4743202417,0.5916414904,7.9631499243,172.19280875,0.1717019134,0.0483383686
15,1901,0.4813256181,0.0131509732,0.5055234087,0.5644397685,7.1236842105,168.1501355,0.1562335613,0.050499737
16,1968,0.4913617886,0.0330284553,0.4756097561,0.5406504065,8.0772750381,168.46936601,0.1427845528,0.0518292683
17,1830,0.4950819672,0.0306010929,0.4743169399,0.5683060109,6.7736468015,166.13295455,0.1338797814,0.0453551913
18,1850,0.5205405405,0.0318918919,0.4475675676,0.5875675676,7.7460747158,160.60490308,0.1654054054,0.0551351351
19,1856,0.494612069,0.0215517241,0.4838362069,0.5743534483,6.8152350081,144.378502,0.1487068966,0.0474137931
20,1813,0.5201323773,0.0231660232,0.4567015996,0.5752895753,5.6142384106,148.23792697,0.1279646994,0.0386100386
21,2011,0.5101939334,0.0283441074,0.4614619592,0.6011934361,7.0743512974,153.28042895,0.1422178021,0.0507210343
22,1993,0.4942298043,0.0311088811,0.4746613146,0.5489212243,6.0977822581,149.72595887,0.1274460612,0.0426492725
23,2031,0.4790743476,0.0334810438,0.4874446086,0.584441162,6.857850421,143.54388799,0.1319547021,0.0561299852
24,1891,0.5140137493,0.0232681121,0.4627181386,0.5748281333,6.4570666667,129.11058264,0.1385510312,0.0571126388
