month,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,tsin1,tcos1,M12,Q1,Q2,Q3,Q4,H1,H2,compwarr.cs,compsumm.cs,comptot.cs,temperature
-96,0,0,0,0,0,0,0,0,0,0,1.96E-15,1,0,1,0,0,0,1,0,5523.451613,10581.53226,16104.98387,26.7
-95,0,0,0,0,0,0,0,0,0,0,0.5,0.866025404,1,1,0,0,0,1,0,5854.910714,11072.58929,16927.5,34.3
-94,0,0,0,0,0,0,0,0,0,0,0.866025404,0.5,2,1,0,0,0,1,0,5782.209677,11132.5,16914.70968,40.4
-93,0,0,0,0,0,0,0,0,0,0,1,-3.67E-15,3,0,1,0,0,1,0,5987.15,10816.31667,16803.46667,51.3
-92,0,0,0,0,0,0,0,0,0,0,0.866025404,-0.5,4,0,1,0,0,1,0,6102.951613,11580.16129,17683.1129,61.4
-91,0,0,0,0,0,0,0,0,0,0,0.5,-0.866025404,5,0,1,0,0,1,0,6199.633333,11385.65,17585.28333,68.1
-90,0,0,0,0,0,0,0,0,0,0,1.72E-15,-1,6,0,0,1,0,0,1,6353.83871,12069.14516,18422.98387,72.6
-89,0,0,0,0,0,0,0,0,0,0,-0.5,-0.866025404,7,0,0,1,0,0,1,6215.112903,11828.09677,18043.20968,75.8
-88,0,0,0,0,0,0,0,0,0,0,-0.866025404,-0.5,8,0,0,1,0,0,1,6147.783333,12387.06667,18534.85,65.8
-87,0,0,0,0,0,0,0,0,0,0,-1,7.10E-15,9,0,0,0,1,0,1,5877.645161,10638.59677,16516.24194,53.2
-86,0,0,0,0,0,0,0,0,0,0,-0.866025404,0.5,10,0,0,0,1,0,1,5790.933333,10424.9,16215.83333,49.9
-85,0,0,0,0,0,0,0,0,0,0,-0.5,0.866025404,11,0,0,0,1,0,1,5161.387097,9570.112903,14731.5,34.9
-84,0,0,0,0,0,0,0,0,0,0,1.71E-15,1,0,1,0,0,0,1,0,5930.774194,10573.66129,16504.43548,31.5
-83,0,0,0,0,0,0,0,0,0,0,0.5,0.866025404,1,1,0,0,0,1,0,5457.321429,10053.01786,15510.33929,31.3
-82,0,0,0,0,0,0,0,0,0,0,0.866025404,0.5,2,1,0,0,0,1,0,6308.580645,11338.12903,17646.70968,46
-81,0,0,0,0,0,0,0,0,0,0,1,-3.43E-15,3,0,1,0,0,1,0,6208.783333,12048.51667,18257.3,55.5
-80,0,0,0,0,0,0,0,0,0,0,0.866025404,-0.5,4,0,1,0,0,1,0,6143.290323,12134.08065,18277.37097,64.2
-79,0,0,0,0,0,0,0,0,0,0,0.5,-0.866025404,5,0,1,0,0,1,0,6609.35,12517.2,19126.55,74.4
-78,0,0,0,0,0,0,0,0,0,0,-5.14E-15,-1,6,0,0,1,0,0,1,6349.903226,12795.24194,19145.14516,79.1
-77,0,0,0,0,0,0,0,0,0,0,-0.5,-0.866025404,7,0,0,1,0,0,1,6430.580645,12378.08065,18808.66129,75.4
-76,0,0,0,0,0,0,0,0,0,0,-0.866025404,-0.5,8,0,0,1,0,0,1,6407.033333,12614.8,19021.83333,69.9
-75,0,0,0,0,0,0,0,0,0,0,-1,-2.46E-16,9,0,0,0,1,0,1,5935.693548,10828.48387,16764.17742,56.5
-74,0,0,0,0,0,0,0,0,0,0,-0.866025404,0.5,10,0,0,0,1,0,1,5427.983333,9899.283333,15327.26667,44.9
-73,0,0,0,0,0,0,0,0,0,0,-0.5,0.866025404,11,0,0,0,1,0,1,4647.806452,8774.16129,13421.96774,31.5
-72,0,0,0,0,0,0,0,0,0,0,1.47E-15,1,0,1,0,0,0,1,0,5288.306452,9611.435484,14899.74194,26.9
-71,0,0,0,0,0,0,0,0,0,0,0.5,0.866025404,1,1,0,0,0,1,0,5407.214286,10477.83929,15885.05357,33.3
-70,0,0,0,0,0,0,0,0,0,0,0.866025404,0.5,2,1,0,0,0,1,0,5745.806452,11170.87097,16916.67742,41.6
-69,0,0,0,0,0,0,0,0,0,0,1,-3.18E-15,3,0,1,0,0,1,0,5799.066667,11499.51667,17298.58333,54
-68,0,0,0,0,0,0,0,0,0,0,0.866025404,-0.5,4,0,1,0,0,1,0,5970.129032,11684.45161,17654.58065,63.4
-67,0,0,0,0,0,0,0,0,0,0,0.5,-0.866025404,5,0,1,0,0,1,0,6288.083333,11973.28333,18261.36667,71.5
-66,0,0,0,0,0,0,0,0,0,0,2.21E-15,-1,6,0,0,1,0,0,1,6122.629032,12072.09677,18194.72581,78.5
-65,0,0,0,0,0,0,0,0,0,0,-0.5,-0.866025404,7,0,0,1,0,0,1,5736.951613,11346,17082.95161,74.3
-64,0,0,0,0,0,0,0,0,0,0,-0.866025404,-0.5,8,0,0,1,0,0,1,5677.066667,11754.7,17431.76667,69.6
-63,0,0,0,0,0,0,0,0,0,0,-1,-4.90E-16,9,0,0,0,1,0,1,5426.048387,10808.80645,16234.85484,56.6
-62,0,0,0,0,0,0,0,0,0,0,-0.866025404,0.5,10,0,0,0,1,0,1,5378.166667,10387.28333,15765.45,49
-61,0,0,0,0,0,0,0,0,0,0,-0.5,0.866025404,11,0,0,0,1,0,1,5105.306452,9971.532258,15076.83871,40.7
-60,0,0,0,0,0,0,0,0,0,0,4.78E-15,1,0,1,0,0,0,1,0,5639.548387,11093.14516,16732.69355,34.7
-59,0,0,0,0,0,0,0,0,0,0,0.5,0.866025404,1,1,0,0,0,1,0,5687.724138,11785.62069,17473.34483,38.4
-58,0,0,0,0,0,0,0,0,0,0,0.866025404,0.5,2,1,0,0,0,1,0,5836.322581,12350.53226,18186.85484,49.3
-57,0,0,0,0,0,0,0,0,0,0,1,-2.94E-15,3,0,1,0,0,1,0,5735.016667,11741.48333,17476.5,53.1
-56,0,0,0,0,0,0,0,0,0,0,0.866025404,-0.5,4,0,1,0,0,1,0,5957.33871,12240.33871,18197.67742,65.1
-55,0,0,0,0,0,0,0,0,0,0,0.5,-0.866025404,5,0,1,0,0,1,0,5992.233333,12050.55,18042.78333,70.3
-54,0,0,0,0,0,0,0,0,0,0,-1.10E-15,-1,6,0,0,1,0,0,1,6233.806452,11787.75806,18021.56452,78.4
-53,0,0,0,0,0,0,0,0,0,0,-0.5,-0.866025404,7,0,0,1,0,0,1,6343.016129,12420.3871,18763.40323,75.5
-52,0,0,0,0,0,0,0,0,0,0,-0.866025404,-0.5,8,0,0,1,0,0,1,5697.4,11764.86667,17462.26667,68
-51,0,0,0,0,0,0,0,0,0,0,-1,2.82E-15,9,0,0,0,1,0,1,5518.532258,10082.70968,15601.24194,56.7
-50,0,0,0,0,0,0,0,0,0,0,-0.866025404,0.5,10,0,0,0,1,0,1,4828.15,9242.516667,14070.66667,41.5
-49,0,0,0,0,0,0,0,0,0,0,-0.5,0.866025404,11,0,0,0,1,0,1,4746.193548,9338.903226,14085.09677,40.1
-48,0,0,0,0,0,0,0,0,0,0,9.80E-16,1,0,1,0,0,0,1,0,5433.919355,10911.12903,16345.04839,34
-47,0,0,0,0,0,0,0,0,0,0,0.5,0.866025404,1,1,0,0,0,1,0,5332.053571,10556.26786,15888.32143,32.1
-46,0,0,0,0,0,0,0,0,0,0,0.866025404,0.5,2,1,0,0,0,1,0,5409.322581,10905.22581,16314.54839,38.8
-45,0,0,0,0,0,0,0,0,0,0,1,8.58E-16,3,0,1,0,0,1,0,5559.133333,11377.51667,16936.65,51.9
-44,0,0,0,0,0,0,0,0,0,0,0.866025404,-0.5,4,0,1,0,0,1,0,5810.741935,11475.87097,17286.6129,60.6
-43,0,0,0,0,0,0,0,0,0,0,0.5,-0.866025404,5,0,1,0,0,1,0,5848.883333,11466.98333,17315.86667,71.6
-42,0,0,0,0,0,0,0,0,0,0,-8.57E-16,-1,6,0,0,1,0,0,1,6037.032258,11744.46774,17781.5,79.1
-41,0,0,0,0,0,0,0,0,0,0,-0.5,-0.866025404,7,0,0,1,0,0,1,6118.693548,12016.01613,18134.70968,72.5
-40,0,0,0,0,0,0,0,0,0,0,-0.866025404,-0.5,8,0,0,1,0,0,1,5880.4,11923.46667,17803.86667,65.5
-39,0,0,0,0,0,0,0,0,0,0,-1,2.57E-15,9,0,0,0,1,0,1,5422.112903,10590.3871,16012.5,57.4
-38,0,0,0,0,0,0,0,0,0,0,-0.866025404,0.5,10,0,0,0,1,0,1,5082.316667,9777.283333,14859.6,43.8
-37,0,0,0,0,0,0,0,0,0,0,-0.5,0.866025404,11,0,0,0,1,0,1,4703.887097,9236.580645,13940.46774,35.5
-36,0,0,0,0,0,0,0,0,0,0,7.35E-16,1,0,1,0,0,0,1,0,5190.903226,9952.83871,15143.74194,25.5
-35,0,0,0,0,0,0,0,0,0,0,0.5,0.866025404,1,1,0,0,0,1,0,5218.767857,10551.91071,15770.67857,29
-34,0,0,0,0,0,0,0,0,0,0,0.866025404,0.5,2,1,0,0,0,1,0,5167.290323,11508.33871,16675.62903,35.1
-33,0,0,0,0,0,0,0,0,0,0,1,1.10E-15,3,0,1,0,0,1,0,5384.266667,11503.58333,16887.85,51.1
-32,0,0,0,0,0,0,0,0,0,0,0.866025404,-0.5,4,0,1,0,0,1,0,5760.564516,12475.48387,18236.04839,61.9
-31,0,0,0,0,0,0,0,0,0,0,0.5,-0.866025404,5,0,1,0,0,1,0,5849.9,11870.6,17720.5,70.6
-30,0,0,0,0,0,0,0,0,0,0,-2.39E-15,-1,6,0,0,1,0,0,1,5739.903226,12223.6129,17963.51613,74.8
-29,0,0,0,0,0,0,0,0,0,0,-0.5,-0.866025404,7,0,0,1,0,0,1,5641.516129,11703.14516,17344.66129,71.1
-28,0,0,0,0,0,0,0,0,0,0,-0.866025404,-0.5,8,0,0,1,0,0,1,5561.166667,11851.28333,17412.45,67.8
-27,0,0,0,0,0,0,0,0,0,0,-1,5.51E-16,9,0,0,0,1,0,1,5350.290323,10309,15659.29032,57.4
-26,0,0,0,0,0,0,0,0,0,0,-0.866025404,0.5,10,0,0,0,1,0,1,4935.916667,9202.866667,14138.78333,41.9
-25,0,0,0,0,0,0,0,0,0,0,-0.5,0.866025404,11,0,0,0,1,0,1,4838.677419,9258.225806,14096.90323,39.2
-24,0,0,0,0,0,0,0,0,0,0,4.90E-16,1,0,1,0,0,0,1,0,4960.677419,9872.16129,14832.83871,27.4
-23,0,0,0,0,0,0,0,0,0,0,0.5,0.866025404,1,1,0,0,0,1,0,4748.196429,9501.839286,14250.03571,21.8
-22,0,0,0,0,0,0,0,0,0,0,0.866025404,0.5,2,1,0,0,0,1,0,5058.080645,9985.306452,15043.3871,35.7
-21,0,0,0,0,0,0,0,0,0,0,1,-4.29E-16,3,0,1,0,0,1,0,5282.6,10971.86667,16254.46667,52.2
-20,0,0,0,0,0,0,0,0,0,0,0.866025404,-0.5,4,0,1,0,0,1,0,5488.032258,11441.43548,16929.46774,66.1
-19,0,0,0,0,0,0,0,0,0,0,0.5,-0.866025404,5,0,1,0,0,1,0,5484.916667,10929.16667,16414.08333,70.3
-18,0,0,0,0,0,0,0,0,0,0,-3.67E-16,-1,6,0,0,1,0,0,1,5895.354839,11529.98387,17425.33871,76.3
-17,0,0,0,0,0,0,0,0,0,0,-0.5,-0.866025404,7,0,0,1,0,0,1,5763.516129,11046.90323,16810.41935,75.6
-16,0,0,0,0,0,0,0,0,0,0,-0.866025404,-0.5,8,0,0,1,0,0,1,5681.133333,11388.7,17069.83333,72
-15,0,0,0,0,0,0,0,0,0,0,-1,1.19E-15,9,0,0,0,1,0,1,5351.274194,10555.95161,15907.22581,54.8
-14,0,0,0,0,0,0,0,0,0,0,-0.866025404,0.5,10,0,0,0,1,0,1,4977.6,10115.83333,15093.43333,50.1
-13,0,0,0,0,0,0,0,0,0,0,-0.5,0.866025404,11,0,0,0,1,0,1,5111.209677,10325.72581,15436.93548,48.6
-12,0,0,0,0,0,0,0,0,0,0,2.45E-16,1,0,1,0,0,0,1,0,5093.5,10936.70968,16030.20968,31.3
-11,0,0,0,0,0,0,0,0,0,0,0.5,0.866025404,1,1,0,0,0,1,0,5380.62069,11628.91379,17009.53448,36.3
-10,0,0,0,0,0,0,0,0,0,0,0.866025404,0.5,2,1,0,0,0,1,0,5436.870968,12575.83871,18012.70968,47.7
-9,0,0,0,0,0,0,0,0,0,0,1,-1.84E-16,3,0,1,0,0,1,0,5371.05,12087.15,17458.2,52.1
-8,0,0,0,0,0,0,0,0,0,0,0.866025404,-0.5,4,0,1,0,0,1,0,5491.967742,12476.46774,17968.43548,61
-7,0,0,0,0,0,0,0,0,0,0,0.5,-0.866025404,5,0,1,0,0,1,0,5661.816667,12904.55,18566.36667,71.1
-6,0,0,0,0,0,0,0,0,0,0,-1.22E-16,-1,6,0,0,1,0,0,1,5229.274194,11793.66129,17022.93548,77.9
-5,0,0,0,0,0,0,0,0,0,0,-0.5,-0.866025404,7,0,0,1,0,0,1,5407.354839,12548.29032,17955.64516,77.3
-4,0,0,0,0,0,0,0,0,0,0,-0.866025404,-0.5,8,0,0,1,0,0,1,4952.183333,11659.13333,16611.31667,70.3
-3,0,0,0,0,0,0,0,0,0,0,-1,6.12E-17,9,0,0,0,1,0,1,4752.096774,11171.85484,15923.95161,56.6
-2,0,0,0,0,0,0,0,0,0,0,-0.866025404,0.5,10,0,0,0,1,0,1,4502.816667,10286.63333,14789.45,47
-1,0,0,0,0,0,0,0,0,0,0,-0.5,0.866025404,11,0,0,0,1,0,1,3677.709677,10476.25806,14153.96774,36.9
0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,3386.483871,11391.25806,14777.74194,36.4
1,0,1,0,0,0,0,0,0,0,0,0.5,0.866025404,1,1,0,0,0,1,0,3422.535714,12325.26786,15747.80357,39.7
2,0,0,1,0,0,0,0,0,0,0,0.866025404,0.5,2,1,0,0,0,1,0,3469.129032,11042.96774,14512.09677,38.7
3,0,0,0,1,0,0,0,0,0,0,1,6.12E-17,3,0,1,0,0,1,0,3577.65,11663.2,15240.85,56.2
4,0,0,0,0,1,0,0,0,0,0,0.866025404,-0.5,4,0,1,0,0,1,0,3766.258065,11621.48387,15387.74194,60.4
5,0,0,0,0,0,1,0,0,0,0,0.5,-0.866025404,5,0,1,0,0,1,0,3802.333333,11687.6,15489.93333,71.1
6,0,0,0,0,0,0,1,0,0,0,1.22E-16,-1,6,0,0,1,0,0,1,3856.774194,11605.74194,15462.51613,75.8
7,0,0,0,0,0,0,0,1,0,0,-0.5,-0.866025404,7,0,0,1,0,0,1,3959.096774,11754.30645,15713.40323,72.4
8,0,0,0,0,0,0,0,0,1,0,-0.866025404,-0.5,8,0,0,1,0,0,1,3699.65,10770.56667,14470.21667,69.1
9,0,0,0,0,0,0,0,0,0,1,-1,-1.84E-16,9,0,0,0,1,0,1,3808.564516,10196.83871,14005.40323,60.6
